,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
1633,C12H18O,879-97-0,178.270,,82.4,248.0,0.91680,,s alk,Cc1cc(cc(C)c1O)C(C)(C)C
1641,C12H18,7364-19-4,162.271,liq,-38.4,211.0,0.864120,,,CCc1ccc(cc1)C(C)(C)C
1645,C12H18O,96-70-8,178.270,,23,250.0,,,,CCc1ccc(O)c(c1)C(C)(C)C
1650,C5H11NO,2425-74-3,101.147,liq,16,202.0,0.903,1.433020,,CC(C)(C)NC=O
1661,C11H16O2,25013-16-5,180.244,wax,51,268.0,,,"i H2O; s peth, EtOH",COc1ccc(O)c(c1)C(C)(C)C
1662,C11H14O3,2052-14-4,194.227,liq,-5.9,271.0,1.072820,1.511520,sl ctc,CCCCOC(=O)c1ccccc1O
1665,C4H9ClO,507-40-4,108.566,ye liq,,77.5,0.958318,1.40320,"i H2O; vs eth, bz; s ace",CC(C)(C)[Cl]=O
1670,C5H9N,2769-64-4,83.132,,,120.0,0.7820,,"vs eth, EtOH",CCCC[N+]#[C-]
1673,C5H9NS,116724-11-9,115.197,,,159.5,0.94412,,"vs eth, EtOH",
1674,C5H9NS,590-42-1,115.197,,10.5,140.0,0.918710,,,CC(C)(C)N=C=S
1679,C8H14O2,585-07-9,142.196,,,135.2,,,,CC(=C)C(=O)OC(C)(C)C
1691,C5H12O,116783-23-4,88.148,,,59.1,0.741520,1.368025,"vs ace, eth, EtOH",
1698,C8H17NO,1005-67-0,143.227,liq,-57.1,213.5,0.906820,1.445120,"vs H2O, ace, bz, EtOH",CCCCN1CCOCC1
1702,C4H9NO3,928-45-0,119.119,,,133.0,1.022830,1.401323,"i H2O; s EtOH, eth; sl ctc",CCCCO[N+]([O-])=O
1703,C4H9NO2,544-16-1,103.120,,,78.0,0.911425,1.376220,"msc EtOH, eth",CCCCON=O
1713,C9H16O3,2052-15-5,172.221,,,237.5,0.973520,1.429020,sl chl,CCCCOC(=O)CCC(C)=O
1716,C9H18O2,116836-32-9,158.238,,,174.5,0.860520,1.407020,"vs bz, eth, py, EtOH",
1717,C14H23N,2961-47-9,205.340,,,265.0,0.887825,1.484625,,CCCCC(CCCC)c1ccncc1
1724,C10H14O,585-34-2,150.217,nd (peth),47(1),240.0,,,"s EtOH, alk; vs eth",CC(C)(C)c1cccc(O)c1
1730,C12H17NO,91-49-6,191.269,,24.5(2),281.0,0.991220,1.514620,sl chl,CCCCN(C(C)=O)c1ccccc1
1731,C12H16O,943-27-1,176.254,,17.7,263.0,0.963520,1.51815,,CC(=O)c1ccc(cc1)C(C)(C)C
1736,C7H14O2,591-34-4,130.185,,,133.0,0.865720,1.395220,"s EtOH, eth",CCC(C)OC(=O)CC
1742,C16H36O4Si,4766-57-8,320.541,,,256.0,0.899020,1.412820,,CCCCO[Si](OCCCC)(OCCCC)OCCCC
1743,C22H44O2,123-95-5,340.583,,26.56(2),343.0,0.85425,1.432850,i H2O; s EtOH; vs ace,CCCCCCCCCCCCCCCCCC(=O)OCCCC
1744,C5H9NS,628-83-1,115.197,,,186.0,0.956315,1.436020,"i H2O; s EtOH, eth",CCCCSC#N
1748,C6H9Cl3O2,3657-07-6,219.493,,,204.0,1.277820,1.452525,s ctc,CCCCOC(=O)C(Cl)(Cl)Cl
1749,C12H13Cl3O3,93-79-8,311.588,,28.5,337.0,,,,CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl
1750,C4H9Cl3Si,7521-80-4,191.559,,,148.5,1.160620,1.436320,"s eth, bz, tol, AcOEt",CCCC[Si](Cl)(Cl)Cl
1757,C6H12O,926-02-3,100.158,liq,-112,75.0,0.769120,1.392220,,CC(C)(C)OC=C
1761,C4N2,1071-98-3,76.056,,20(1),76.5,0.970825,1.464725,,NCCCCN
1766,C4H4O2,590-93-2,84.074,"pl (eth, peth)",78,203.0,0.964120,,"vs H2O, eth, EtOH, chl",CC#CC(O)=O
1769,C4H6O,2028-63-9,70.090,liq,-1.5,106.5,0.861820,1.420720,"vs H2O, eth, EtOH",CC(O)C#C
1770,C4H4O,1423-60-5,68.074,,,84.0,0.879320,1.407020,,CC(=O)C#C
1791,C10H16,5794-03-6,136.234,nd,52,161.0,0.895050,1.457025,vs eth,CC1(C)[C@@H]2CC[C@@H](C2)C1=C
1792,C10H16,5794-04-7,136.234,,52,158.0,0.844650,1.456454,vs eth,CC1(C)C2CCC(C2)C1=C
1831,CSe2,506-80-9,169.93,ye liq,-43.6(3),125.5,2.682320,1.845420,"i H2O; vs ctc, tol",[Se]=C=[Se]
1839,CCl2S,463-71-8,114.982,red liq,,73.0,1.50815,1.544220,"dec H2O, EtOH; s eth",ClC(Cl)=S
1841,COSe,1603-84-5,106.97,col gas; unstab,-124.4,-21.7,0.00437225 gas,,dec H2O,O=C=[Se]
1843,C3O2,504-64-3,68.031,col gas,-112.5,6.8,1.1140,1.45380,"s eth, bz, CS2",
1847,CClFO,353-49-1,82.461,col gas,-148,-47.2,,,reac H2O,FC(Cl)=O
1848,C3N2O,1115-12-4,80.044,liq,-36,65.5,1.12420,1.391920,"s eth, ace, ctc, chl",NCC(=O)CN
1850,CF2O,353-50-4,66.007,col gas,-114,-84.5,0.00269825 gas,,reac H2O,FC(F)=O
1852,C20H32N2O3S,55285-14-8,380.544,,,126.0,1.05620,,,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12
1859,C10H16,498-15-7,136.234,,,171.0,0.854930,1.4693,"vs ace, bz, eth",CC1=CC[C@@H]2[C@H](C1)C2(C)C
1877,C10H16O,99-48-9,152.233,,,228.0,0.948425,1.494225,,CC(=C)C1CC=C(C)C(O)C1
1878,C10H16O,10395-45-6,152.233,,,233.0,0.928920,1.480520,i H2O; s ace,
1879,C10H14O,6485-40-1,150.217,,25.2,231.0,0.959320,1.498820,"sl H2O; vs EtOH; s eth, ctc, chl",CC(=C)[C@@H]1CC=C(C)C(=O)C1
