,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
2829,C4H6O,1489-69-6,70.090,liq,,100.0,0.938,1.429820,,O=CC1CC1
2832,C4H8O,2516-33-8,72.106,,,124.0,0.91125,,sl ctc,OCC1CC1
2881,C10H18,2051-25-4,138.250,,,169.0,0.75230,,vs bz,
2902,C10H22O,74742-10-2,158.281,liq,-2(1),211.0,0.825020,1.432625,"s EtOH, bz; msc eth, ace; sl ctc",
2908,C10H20O,624-16-8,156.265,liq,-9(4),206.5,0.82420,1.424021,"i H2O; msc EtOH, eth",CCCCCCC(=O)CCC
2910,C10H18O,3913-81-3,154.249,,,230.0,,,,CCCCCCC\C=C\C=O
2918,C10H20O,13019-22-2,156.265,,,236.0,0.87625,1.448020,,OCCCCCCCCC=C
2927,C11H22O2,5451-52-5,186.292,liq,,243.0,,,,CCCCCCCCCCOC=O
2929,C20H28,26438-27-7,268.436,,15,379.0,0.932220,1.543520,,
2967,C6H12O2,123-42-2,116.158,liq,-47(2),167.9,0.938720,1.421320,"msc H2O, EtOH, eth; s chl",CC(=O)CC(C)(C)O
2985,C8H10O4,615-99-6,170.163,,,217.0,1.158220,1.448120,"i H2O; s EtOH, ace, bz; sl chl",C=CCOC(=O)C(=O)OCC=C
3020,CH2N2,334-88-3,42.040,ye gas,-145,-23.0,,,"vs eth, diox",C=[N+]=[N-]
3045,C14H14O,103-50-4,198.260,liq,1.8,298.0,1.042820,1.561820,"i H2O; msc EtOH, eth; s ctc",C(OCc1ccccc1)c2ccccc2
3054,C2HBr2N,3252-43-5,198.844,,,169.0,2.36920,1.539320,,BrC(Br)C#N
3062,C12H8Br2,92-86-4,312.000,mcl pr (MeOH),164,357.5,,,i H2O; sl EtOH; s bz,Brc1ccc(cc1)c2ccc(Br)cc2
3063,C5H8Br4,3229-00-3,387.734,"cry (ace), nd (lig)",160.29(5),305.5,2.59615,,"s EtOH, bz, tol; sl eth, chl",BrCC(CBr)(CBr)CBr
3066,C4H8Br2,62168-25-6,215.915,,,158.0,1.78425,1.498825,,CCCC(Br)Br
3071,C4H6Br2,821-06-7,213.899,pl (peth),53.4,203.0,,,"sl H2O, chl; vs EtOH, peth; s ace",BrC\C=C\CBr
3074,CBr2ClF,353-55-9,226.270,,,80.3,2.317322,1.457020,,FC(Cl)(Br)Br
3080,C2H2Br2Cl2,75-81-0,256.751,liq,-26,195.0,2.13520,1.566220,"vs ace, bz, eth, EtOH",ClC(Cl)(Br)CBr
3081,C2H2Br2Cl2,683-68-1,256.751,liq,-26,195.0,2.13520,1.566220,"i H2O; s EtOH, eth, ace, bz",ClC(Br)C(Cl)Br
3082,CBr2Cl2,594-18-3,242.725,,38,150.2,2.4225,,"i H2O; s EtOH, eth, ace, bz",ClC(Cl)(Br)Br
3083,C2H2Br2F2,75-82-1,223.842,liq,-61.3,92.5,2.223820,1.445620,,FC(F)(Br)CBr
3096,CHBr2F,1868-53-7,191.825,liq,-78,64.9,2.42120,1.468520,"i H2O; s EtOH, eth, ace, bz, chl",FC(Br)Br
3097,C7H14Br2,42474-21-5,257.994,,,228.0,1.508620,1.498620,,CCCCCC(Br)CBr
3101,C3Br2F6,661-95-0,309.830,,,72.8,2.163020,,i H2O,FC(F)(F)C(F)(Br)C(F)(F)Br
3103,C6H12Br2,629-03-8,243.967,liq,-1.2,245.5,1.602525,1.505425,"i H2O; s eth, ace, chl; sl ctc",BrCCCCCCBr
3116,C10H6Br2,83-53-4,285.963,,83,310.0,,,"i H2O; s EtOH, eth; sl HOAc",Brc1ccc(Br)c2ccccc12
3121,C8H16Br2,4549-32-0,272.021,,15.5,271.0,1.459425,1.497125,"i H2O; s eth, ctc, chl",BrCCCCCCCCBr
3124,C5H10Br2,111-24-0,229.941,liq,-40.0(4),222.3,1.692825,1.510225,"i H2O; s bz, chl; sl ctc",BrCCCCCBr
3126,C6H4Br2O,615-58-7,251.903,nd (peth),40(2),238.5,2.070020,,"sl H2O, ctc; vs EtOH, eth, bz",Oc1ccc(Br)cc1Br
3128,C6H4Br2O,608-33-3,251.903,nd (w),56.5,255.0,,,"s H2O; vs EtOH, eth",Oc1c(Br)cccc1Br
3131,C3H6Br2,594-16-1,201.888,,,113.0,1.88020,,"vs eth, EtOH, chl",CC(C)(Br)Br
3133,C3H6Br2O,96-13-9,217.887,,,219.0,2.12020,,,OCC(Br)CBr
3137,C3H4Br2,13195-80-7,199.872,,,125.0,1.976720,1.526020,"sl H2O; s bz, ctc, chl",CC=C(Br)Br
3138,C3H4Br2,26391-16-2,199.872,,,131.5,2.007620,,,C\C(Br)=C/Br
3140,C5H3Br2N,625-92-3,236.893,nd (al),112,222.0,,,"sl H2O; s EtOH, eth",Brc1cncc(Br)c1
3145,C4H2Br2S,3140-93-0,241.932,liq,-17.5,218.5,,1.630422,,Brc1sccc1Br
3146,C4H2Br2S,3141-27-3,241.932,liq,-6,210.3,2.14223,1.628820,"i H2O; vs EtOH, eth; s ctc",Brc1sc(Br)cc1
3160,C14H23N,613-29-6,205.340,liq,-32.2(2),274.8,0.903720,1.518620,"i H2O; msc EtOH, eth; vs ace, bz; s ctc",CCCCN(CCCC)c1ccccc1
3177,C10H24N2,4062-60-6,172.311,cry,53.3,189.0,0.69,,,CC(C)(C)NCCNC(C)(C)C
3178,C16H26O,4130-42-1,234.376,,44,272.0,,,i alk,CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
3185,C12H20O4,105-76-0,228.285,,<-80,280.0,,,,CCCCOC(=O)\C=C/C(=O)OCCCC
3188,C8H18Hg,629-35-6,314.82,,,223.0,1.777920,1.505720,,CCCC[Hg]CCCC
3189,C15H24O,497-39-2,220.351,,62.1,282.0,0.91280,,"i H2O; s EtOH, eth, ace, bz, ctc",Cc1cc(O)c(cc1C(C)(C)C)C(C)(C)C
3191,C15H24O,616-55-7,220.351,,51,269.0,0.89180,,i alk,Cc1cc(cc(c1O)C(C)(C)C)C(C)(C)C
3192,C15H24O,128-37-0,220.351,,70.1(8),265.0,0.893775,1.485975,"i H2O; s EtOH, ace, bz, peth; i alk",Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
3196,C14H22O,5510-99-6,206.324,liq,-42,257.5,,1.508020,,CC[C@@H](C)c1cccc([C@@H](C)CC)c1O
3201,C8H19O3P,1809-19-4,194.209,oil,,230.0,0.98525,1.422020,,CCCCO[P+](=O)OCCCC
3212,C8H18O3S,626-85-7,194.292,,,230.0,0.995720,1.431020,"s EtOH, eth",CCCCO[S](=O)OCCCC
3213,C8H18O2S,598-04-9,178.293,,44(1),291.0,0.988547,,"i H2O; s EtOH, eth",CCCC[S](=O)(=O)CCCC
3215,C12H22O6,87-92-3,262.299,pr,22,320.0,1.090920,1.445120,"vs H2O, ace, EtOH",CCCCOC(=O)[C@H](O)[C@@H](O)C(=O)OCCCC
3223,C2H2Cl2O,79-02-7,112.942,,,90.5,1.43625,,sl EtOH,ClC(Cl)C=O
3224,C2H3Cl2NO,683-72-7,127.957,,99.4,234.0,,,"s H2O, EtOH, eth; sl ace",NC(=O)C(Cl)Cl
3227,C3H4Cl2O,513-88-2,126.969,,,120.0,1.30418,,sl H2O; s EtOH; msc eth,CC(=O)C(Cl)Cl
3228,C3H4Cl2O,534-07-6,126.969,pr or nd,45,173.4,1.382646,1.471640,"s H2O, EtOH, eth",ClCC(=O)CCl
3229,C2HCl2N,3018-12-0,109.942,,,112.5,1.36920,1.439125,s MeOH,ClC(Cl)C#N
3230,C2HCl3O,79-36-7,147.387,,,108.0,1.531516,1.459120,"dec H2O, EtOH; msc eth",ClC(Cl)C(Cl)=O
3231,C2Cl2,7572-29-4,94.927,liq,-66,33.0,1.26120,1.4279020,"s EtOH, eth, ace",ClCCCl
3234,C6H5Cl2N,608-27-5,162.017,nd (lig),24,252.0,,,"s EtOH, ace; vs eth; sl bz, ctc, lig",Nc1cccc(Cl)c1Cl
3235,C6H5Cl2N,554-00-7,162.017,pr (ace) nd (dil al) (lig),63(4),245.0,1.56720,,"sl H2O, chl; s EtOH, eth",Nc1ccc(Cl)cc1Cl
3239,C6H5Cl2N,626-43-7,162.017,"nd (lig, dil al)",52,261.0,,,"i H2O; s EtOH, eth, ctc, lig",Nc1cc(Cl)cc(Cl)c1
3248,C7H4Cl2O,6287-38-3,175.012,,44,247.5,,,"i H2O; s EtOH, eth; sl ctc",Clc1ccc(C=O)cc1Cl
3249,C7H4Cl2O,10203-08-4,175.012,nd or lf (dil HOAc),65,240.0,,,"vs ace, bz, eth, EtOH",Clc1cc(Cl)cc(C=O)c1
3259,C6H4Cl2O2,137-19-9,179.001,,113,254.0,,,"vs H2O, EtOH, eth, ace; sl lig",Oc1cc(O)c(Cl)cc1Cl
3270,C7H4Cl2O2,50-79-3,191.012,nd (w),154(1),301.0,,,"sl H2O, DMSO; s EtOH, eth",OC(=O)c1cc(Cl)ccc1Cl
3275,C7H3Cl2N,1194-65-6,172.012,cry (peth),143.6(7),270.0,,,,Clc1cccc(Cl)c1C#N
3276,C13H8Cl2O,90-98-2,251.108,pl (al),146.8(3),353.0,1.450020,,"i H2O; s EtOH; vs eth, chl; sl ace",Clc1ccc(cc1)C(=O)c2ccc(Cl)cc2
3281,C7H3Cl3O,3024-72-4,209.457,,25,242.0,,,sl ctc,ClC(=O)c1ccc(Cl)c(Cl)c1
3284,C12H8Cl2,2050-67-1,223.098,nd (dil al),29,320.0,,,"vs bz, eth, EtOH",Clc1cccc(c1)c2cccc(Cl)c2
3285,C12H8Cl2,2050-68-2,223.098,"pr or nd (al, to-peth)",148(2),317.0,1.44200,,"i H2O; sl EtOH, chl; s bz",Clc1ccc(cc1)c2ccc(Cl)cc2
3294,C4H8Cl2,2211-67-8,127.013,liq,-80,119.0,1.10525,1.440925,i H2O,C[C@@H](Cl)[C@@H](C)Cl
3297,C4H6Cl2,760-23-6,124.997,liq,-61(5),116.0,1.117020,1.464120,"i H2O; s EtOH, eth, ctc; vs chl, bz",ClCC(Cl)C=C
3299,C4H6Cl2,7415-31-8,124.997,,,132.0,1.16020,1.471920,"vs ace, bz, eth, EtOH",C\C(Cl)=C/CCl
3301,C4H6Cl2,110-57-6,124.997,col liq,3(2),155.4,1.18325,1.487125,"vs ace, bz, eth, EtOH",ClC/C=C/CCl
3304,C7H5Cl3,102-47-6,195.474,,37.5,241.0,,,"i H2O; s EtOH, ctc",ClCc1ccc(Cl)c(Cl)c1
3306,C2H5Cl3Si,1558-33-4,163.506,,,121.5,1.285820,1.450020,,C[Si](Cl)(Cl)CCl
3307,C2H2AsCl3,541-25-3,207.318,liq,0.1,190.0,1.88820,,,Cl/C=C/[As](Cl)Cl
3310,C6H10Cl2,2108-92-1,153.049,liq,-36.6(1),171.0,1.155920,1.480320,,ClC1(Cl)CCCCC1
3314,C7H4Cl4,56961-84-3,229.919,,,257.0,1.51522,,"vs bz, eth, EtOH",ClC(Cl)c1ccc(Cl)c(Cl)c1
3315,C2H4Cl4Si,1558-31-2,197.951,,,149.0,1.411620,1.470020,,C[Si](Cl)(Cl)C(Cl)Cl
3319,C2H2Cl2F2,25915-78-0,134.940,col liq,,48.4,,,,FC(F)(Cl)CCl
3321,C2H2Cl2F2,431-06-1,134.940,liq,-101.2,59.6,1.416320,1.361920,,FC(Cl)C(F)Cl
3322,C2Cl2F2,79-35-6,132.924,vol liq or gas,-116,19.0,1.555-20,1.383-20,,FC(F)=C(Cl)Cl
3323,C2Cl2F2,311-81-9,132.924,vol liq,-119.6,21.1,1.4950,,,
3324,C2Cl2F2,381-71-5,132.924,vol liq,-93.3,22.0,1.4940,,,
3326,C3H4Cl2F2O,76-38-0,164.966,col liq,-35,105.0,1.4320,1.386120,,COC(F)(F)C(Cl)Cl
3328,C8H8Cl2,1124-05-6,175.056,,71,222.0,,,s chl,Cc1cc(Cl)c(C)cc1Cl
3346,C3H8Cl2Si,4525-44-4,143.088,,,101.0,1.004720,1.419720,,CC[Si](C)(Cl)Cl
3351,CHCl2F,75-43-4,102.923,col gas,-130.35,8.9,1.4059,1.37249,"i H2O; s EtOH, eth, ctc, chl, HOAc",FC(Cl)Cl
3352,C7H5Cl2F,498-67-9,179.019,liq,-26.8,179.0,1.313811,1.518011,vs EtOH,FC(Cl)(Cl)c1ccccc1
3353,C3H3Cl2F,430-95-5,128.960,,,78.0,1.302625,1.419625,,
3355,C4Cl2F6,356-18-3,232.939,liq,-24.2,59.5,,,,FC1(F)C(F)(F)C(F)(Cl)C1(F)Cl
3356,C5Cl2F6,706-79-6,244.949,liq,-105.8,90.7,1.654620,1.367620,,FC1(F)C(=C(Cl)C(F)(F)C1(F)F)Cl
3359,C3Cl2F6,662-01-1,220.928,liq,-125.4,35.7,1.57320,1.303020,,FC(F)(Cl)C(F)(F)C(F)(F)Cl
3360,C6H18Cl2O2Si3,3582-71-6,277.369,liq,-53,184.0,1.01820,,dec H2O,C[Si](C)(Cl)O[Si](C)(C)O[Si](C)(C)Cl
3366,C8H2Cl2O3,942-06-3,217.006,tab or pr (to),188,313.0,,,"vs eth, EtOH, tol",Clc1cc2C(=O)OC(=O)c2cc1Cl
3370,C7H6Cl2O,553-82-2,177.028,pr,28.5,232.0,,,sl chl,COc1ccc(Cl)cc1Cl
3372,C7H6Cl2,98-87-3,161.029,liq,-17.0(5),205.0,1.2625,1.550220,"i H2O; vs eth, EtOH",ClC(Cl)c1ccccc1
3374,CH3BCl2,7318-78-7,96.752,col gas,,11.0,,,,CB(Cl)Cl
3375,C5H10Cl2,507-45-9,141.038,,,129.0,1.069615,1.445018,"i H2O; vs eth, EtOH",CC(Cl)C(C)(C)Cl
3377,C7H6Cl2O,17788-00-0,177.028,pr (peth),58,236.0,,,"vs eth, chl",Cc1c(Cl)ccc(O)c1Cl
3380,C7H6Cl2O,2432-12-4,177.028,nd (lig),39,231.0,,,"i H2O; vs eth, EtOH, HOAc",Cc1cc(Cl)c(O)c(Cl)c1
3384,C5H4Cl2N2,1780-31-0,163.004,pl (al),26,235.0,,,"sl H2O; vs EtOH, eth, bz, chl",Cc1cnc(Cl)nc1Cl
3385,C5H4Cl2N2,5424-21-5,163.004,nd (lig),46.5,219.0,,,"vs bz, eth, EtOH, chl",Cc1cc(Cl)nc(Cl)n1
3388,C10H6Cl2,2198-75-6,197.061,nd or pr (al),62.3,291.0,,,s EtOH,Clc1cc(Cl)c2ccccc2c1
3389,C10H6Cl2,1825-31-6,197.061,"nd or pr (al, ace)",67.5,288.0,1.299776,1.622876,"i H2O; sl EtOH; s eth, bz, HOAc; vs ace",Clc1ccc(Cl)c2ccccc12
3392,C10H6Cl2,2050-73-9,197.061,"nd or pr (al, HOAc)",63.5,285.5,1.2611100,1.6092100,"s EtOH, eth, bz, HOAc",Clc1ccc2cccc(Cl)c2c1
3395,C10H6Cl2,2065-70-5,197.061,"nd or lf (al) pl (eth, bz)",140.5,285.0,,,"sl EtOH; s eth, bz, chl, HOAc",Clc1ccc2cc(Cl)ccc2c1
3398,C10H6Cl2O,2050-76-2,213.060,"nd (al, bz)",107.5,180.0,,,"vs bz, eth, EtOH",Oc1c(Cl)cc(Cl)c2ccccc12
3401,C6H3Cl2NO2,3209-22-1,192.000,"mcl nd (peth, HOAc)",60.7(6),257.5,1.72114,,"i H2O; s EtOH, eth, ace, bz, peth; sl chl",[O-][N+](=O)c1cccc(Cl)c1Cl
3402,C6H3Cl2NO2,99-54-7,192.000,nd (al),41.0(2),255.5,1.455875,,"i H2O; s EtOH, eth; sl ctc",[O-][N+](=O)c1ccc(Cl)c(Cl)c1
3405,C6H3Cl2NO2,611-06-3,192.000,nd (al),33(2),258.5,1.479080,1.551270,"i H2O; s EtOH, eth; sl chl",[O-][N+](=O)c1ccc(Cl)cc1Cl
3406,C2H3Cl2NO2,594-72-9,143.957,,,123.5,,,s ctc,CC(Cl)(Cl)[N+]([O-])=O
3408,C3H5Cl2NO2,595-44-8,157.984,,,145.0,1.31220,,s ctc,CCC(Cl)(Cl)[N+]([O-])=O
3418,C6H4Cl2O,120-83-2,163.001,hex nd (bz),43(2),210.0,,,"sl H2O; s EtOH, eth, bz, chl",Oc1ccc(Cl)cc1Cl
3422,C6H4Cl2O,95-77-2,163.001,nd (bz-peth),67.8(3),253.0,,,"sl H2O; vs EtOH, eth; s bz, peth",Oc1ccc(Cl)c(Cl)c1
3423,C6H4Cl2O,591-35-5,163.001,pr (peth),67.8(3),233.0,,,"sl H2O; vs EtOH, eth; s peth",Oc1cc(Cl)cc(Cl)c1
3429,C8H6Cl2O,2648-61-5,189.039,amor,20.5,249.0,1.34016,1.568620,"s EtOH, bz, ctc",ClC(Cl)C(=O)c1ccccc1
3437,C6H6Cl2Si,1631-84-1,177.104,,,181.0,1.22125,,dec H2O,Cl[Si](Cl)c1ccccc1
3439,C3H6Cl2,78-87-5,112.986,liq,-100.53,96.4,1.156020,1.439420,"sl H2O; s EtOH, eth, bz, chl",CC(Cl)CCl
3443,C3H4Cl2O2,75-99-0,142.969,,,187.5,1.38912,,"vs H2O, alk, EtOH; s eth, ctc",CC(Cl)(Cl)C(O)=O
3450,C3H4Cl2,7069-38-7,110.970,,,77.0,1.181820,1.447120,"i H2O; vs EtOH, ctc, MeOH",C\C(Cl)=C/Cl
3455,C5H3Cl2N,2402-78-0,147.990,,87,211.0,,,,Clc1cccc(Cl)n1
3457,C4H2Cl2N2,3934-20-1,148.978,,59,198.0,,,,Clc1ccnc(Cl)n1
3462,C6Cl2F4,1198-59-0,218.964,,,157.7,,,,
3466,C4H12Cl2Si2,4342-61-4,187.215,,,148.0,1.01020,1.454820,,C[Si](C)(Cl)[Si](C)(C)Cl
3467,C4H12Cl2OSi2,2401-73-2,203.214,liq,-37.5,138.0,1.03820,,,C[Si](C)(Cl)O[Si](C)(C)Cl
3469,C7H6Cl2,32768-54-0,161.029,,6,207.5,1.245820,1.551120,vs bz,Cc1cccc(Cl)c1Cl
3471,C7H6Cl2,19398-61-9,161.029,,2.5,200.0,1.253520,1.544920,i H2O; s bz,Cc1cc(Cl)ccc1Cl
3475,C7H3Cl5,13014-24-9,264.364,,25.8,283.1,1.591320,1.588620,,Clc1ccc(cc1Cl)C(Cl)(Cl)Cl
3478,C2HCl2F3,812-04-4,152.930,,,30.2,,,,FC(F)C(F)(Cl)Cl
3485,C8H16NO5P,141-66-2,237.191,,,400.0,1.21615,,,CO[P](=O)(OC)OC(/C)=C/C(=O)N(C)C
3495,C12H22O,4645-15-2,182.302,liq,-36,242.5,0.922720,1.474120,,C1CCC(CC1)OC2CCCCC2
3498,C12H23P,829-84-5,198.285,,,281.0,0.90425,1.516320,,C1CCC(CC1)PC2CCCCC2
3506,C7H10O,1121-37-5,110.153,,,161.0,0.97725,1.467020,,O=C(C1CC1)C2CC2
3507,C20H43N,1120-49-6,297.562,,,359.0,,,,CCCCCCCCCCNCCCCCCCCCC
3523,C11H14O3,2029-94-9,194.227,,22,279.0,1.010022,,vs EtOH,CCOc1ccc(C=O)cc1OCC
3524,C10H14O2,2050-46-6,166.217,"pr (peth, dil al)",44,219.0,1.007520,1.508325,"s EtOH, ctc; vs eth",CCOc1ccccc1OCC
3525,C10H14O2,122-95-2,166.217,pl (dil al),72,246.0,,,"vs EtOH; s eth, bz, ctc, chl",CCOc1ccc(OCC)cc1
3527,C8H19NO2,6346-09-4,161.243,,,196.0,0.93325,1.427520,,CCOC(CCCN)OCC
3528,C7H17NO2,1188-33-6,147.216,,,129.0,0.85925,1.400720,,CCOC(OCC)N(C)C
3531,C6H15NO2,645-36-3,133.189,liq,-78,163.0,0.915925,1.412325,"vs H2O, eth, EtOH, chl",CCOC(CN)OCC
3536,C9H14O3,13529-27-6,170.205,,,191.5,0.997620,1.445120,vs EtOH,CCOC(OCC)c1occc1
3538,C5H14O2Si,2031-62-1,134.250,,,98.0,0.82925,,,CCO[Si](C)OCC
3542,C7H14O2,3054-95-3,130.185,,,123.5,0.854315,1.400020,"sl H2O; msc EtOH, eth",CCOC(OCC)C=C
3543,C7H12O2,10160-87-9,128.169,,,139.0,0.894222,1.414020,"vs ace, eth, EtOH, chl",CCOC(OCC)C#C
3549,C10H16O5,1115-30-6,216.231,,,255.0,1.08120,1.434620,"i H2O; s EtOH, eth, bz; sl chl",CCOC(=O)CC(C(C)=O)C(=O)OCC
3550,C10H16O4,2049-80-1,200.232,,,222.5,1.009820,1.430520,"i H2O; vs EtOH, eth; s ctc",CCOC(=O)C(CC=C)C(=O)OCC
3558,C8H19NO2,140-82-9,161.243,,,221.5,0.942125,1.448020,,CCN(CC)CCOCCO
3566,C10H15NO,91-68-9,165.232,orth bipym (CS2-lig),78,276.0,,,"s H2O, EtOH, eth, CS2; sl lig",CCN(CC)c1cccc(O)c1
3569,C7H17NO,622-93-5,131.216,,,189.5,0.860020,1.443920,"s EtOH; s eth, ace, bz; sl chl",CCN(CC)CCCO
3570,C7H13N,4079-68-9,111.185,liq,,120.0,,,,CCN(CC)CC#C
3573,C4H11As,692-42-2,134.052,,,105.0,1.133824,1.4709,"vs ace, bz, eth, EtOH",CC[As]CC
3578,C10H16N2,93-05-0,164.247,,,261.0,,,vs bz,CCN(CC)c1ccc(N)cc1
3580,C14H18O4,607-81-8,250.291,,,300.0,1.07615,1.487220,i H2O; sl chl,CCOC(=O)C(Cc1ccccc1)C(=O)OCC
3583,C8H17NO,1114-76-7,143.227,,,206.0,0.888420,1.440325,"vs H2O, EtOH",CCCC(=O)N(CC)CC
3587,C5H10ClNO,88-10-8,135.592,,,186.0,,,,CCN(CC)C(Cl)=O
3592,C7H11ClO4,14064-10-9,194.613,,,222.0,1.204020,1.432720,"i H2O; msc EtOH, eth, chl; s CS2",CCOC(=O)C(Cl)C(=O)OCC
3593,C4H10ClO3P,814-49-3,172.547,,,93.5,1.20519,1.417020,,CCO[P](Cl)(=O)OCC
3604,C13H17NO4,1149-24-2,251.279,,71,301.0,,,"i H2O; s EtOH, eth, bz, chl, lig",CCOC(=O)c1cc(C(=O)OCC)c(C)nc1C
3611,C8H14O5,628-68-2,190.194,,18,200.0,1.106815,1.434820,vs EtOH,CC(=O)OCCOCCOC(C)=O
3626,C6H16N2,100-36-7,116.204,,,144.0,0.828020,1.434020,"msc H2O; s EtOH, eth, ctc, tol",CCN(CC)CCN
3627,C6H16N2,111-74-0,116.204,,,146.0,0.828020,1.434020,"vs H2O, eth, EtOH, tol",CCNCCNCC
3632,C9H16O4,133-13-1,188.221,,,208.0,1.00620,1.416620,"sl H2O; vs EtOH, eth, ace, chl",CCOC(=O)C(CC)C(=O)OCC
3634,C6H15O3P,78-38-6,166.155,,,198.0,1.025920,1.416320,"sl H2O; s EtOH, eth",CCO[P](=O)(CC)OCC
3641,C4H12N2,1615-80-1,88.151,,,85.5,0.79726,1.420420,"vs bz, eth, EtOH",CCNNCC
3648,C10H16O4,6802-75-1,200.232,,,176.5,1.028218,1.448617,"vs ace, EtOH",CCOC(=O)C(=C(C)C)C(=O)OCC
3649,C10H18O4,759-36-4,202.248,,,215.0,0.996120,1.418821,"sl H2O, ctc; vs EtOH, eth; s chl",CCOC(=O)C(C(C)C)C(=O)OCC
3650,C7H10O5,609-09-6,174.151,pa ye grn oil,-30,210.0,1.141916,1.431022,"vs H2O; s EtOH, eth, chl; i CS2",CCOC(=O)C(=O)C(=O)OCC
3651,C8H14O5,7554-12-3,190.194,,,253.0,1.129020,,,CCOC(=O)CC(O)C(=O)OCC
3655,C4H10Hg,627-44-1,258.71,,,159.0,2.4320,,s eth; sl EtOH,CC[Hg]CC
3657,C11H17N,606-46-2,163.260,liq,-60,209.0,0.928620,1.515320,"sl H2O; msc EtOH, eth; s ctc",CCN(CC)c1ccccc1C
3658,C11H17N,613-48-9,163.260,,,229.0,0.924216,,"sl H2O; msc EtOH, eth",CCN(CC)c1ccc(C)cc1
3660,C11H16,2050-24-0,148.245,liq,-74.1(3),205.0,0.874820,1.502720,"i H2O; msc EtOH, eth, ace, bz, lig, ctc",CCc1cc(C)cc(CC)c1
3662,C9H19NO,533-32-4,157.253,,,211.0,0.876420,1.442220,"vs eth, EtOH",CCN(CC)C(=O)CC(C)C
3663,C9H14O4,2409-52-1,186.205,,58.5,228.0,1.046720,1.437720,"msc EtOH; s eth, bz; vs ace",CCOC(=O)CC(=C)C(=O)OCC
3668,C14H17N,84-95-7,199.292,,,285.0,1.01320,1.596120,"s EtOH, eth, bz; sl ctc",CCN(CC)c1cccc2ccccc12
3675,C9H14O5,105-50-0,202.204,,,250.0,1.11320,,sl H2O; msc EtOH,CCOC(=O)CC(=O)CC(=O)OCC
3677,C9H22N2,140-80-7,158.284,,,201.0,0.81420,1.442920,,CCN(CC)CCCC(C)N
3679,C9H14O4,2049-67-4,186.205,,,237.0,1.049620,1.441120,"vs eth, EtOH",CCOC(=O)C\C=C/C(=O)OCC
3684,C10H15O2P,1638-86-4,198.199,,,235.0,1.03216,,,CCOP(OCC)c1ccccc1
3686,C4H11P,627-49-6,90.104,,,85.0,0.78620,,,CCPCC
3691,C7H15NO,1114-51-8,129.200,,,191.0,0.897220,1.442520,vs EtOH,CCN(CC)C(=O)CC
3696,C10H18O4,2163-48-6,202.248,,,221.0,0.98920,1.419720,"sl H2O; vs EtOH, eth",CCCC(C(=O)OCC)C(=O)OCC
3700,C14H26O4,110-40-7,258.354,,2.5,305.0,0.964620,1.430620,"sl H2O, ctc; s EtOH, ace; i bz",CCOC(=O)CCCCCCCCC(=O)OCC
3701,C4H10Se,627-53-2,137.08,pa ye,55,108.0,1.230020,1.476820,,CC[Se]CC
3702,C4H12Si,542-91-6,88.224,liq,-134.3,57.0,0.684320,1.392120,i H2O,CC[SiH2]CC
3707,C4H10O4S,64-67-5,154.185,oil,-26.0(5),208.0,1.17225,1.398920,"i H2O; msc EtOH, eth",CCO[S](=O)(=O)OCC
3709,C4H10O3S,623-81-4,138.185,,,158.0,1.120,1.431020,"s EtOH, eth",CCO[S](=O)OCC
3712,C8H14O6,57968-71-5,206.193,,18.7,281.0,1.204620,1.443820,"sl H2O; msc EtOH, eth; s ace, ctc",CCOC(=O)C(O)C(O)C(=O)OCC
3713,C4H10Te,627-54-3,185.72,red-ye,,137.5,1.59915,1.518215,vs EtOH,CC[Te]CC
3718,C7H19NSi,996-50-9,145.319,,,126.3,0.762720,1.411220,,CCN(CC)[Si](C)(C)C
3721,C5H12N2O,623-76-7,116.161,"tab (lig), hyg nd (al)",110.3(4),263.0,1.041525,1.461640,"vs H2O, EtOH, eth",CCNC(=O)NCC
3726,C2H2F2O2,381-73-7,96.033,liq,-1,133.0,1.52625,1.347020,,OC(=O)C(F)F
3727,C6H5F2N,367-25-9,129.108,liq,-7.5,170.0,1.26825,1.506320,,Nc1ccc(F)cc1F
3731,C12H8F2,398-23-2,190.189,mcl pr (al) lf (w),90(2),254.5,,,"i H2O; vs EtOH, bz, chl; s eth, ace",Fc1ccc(cc1)c2ccc(F)cc2
3732,C6H10F2,371-90-4,120.140,liq,,99.5,,,,FC1(F)CCCCC1
3733,C3H2F2,56830-75-2,76.045,liq,,34.0,,,,
3734,C2H6F2Si,353-66-2,96.152,col gas,-87.5,2.5,,,,C[Si](C)(F)F
3737,C12H10F2Si,312-40-3,220.290,,,246.0,1.14517,1.522125,,F[Si](F)(c1ccccc1)c2ccccc2
3738,C2H4F2,75-37-6,66.050,col gas,-118.59,-24.02,0.89625 (p>1 atm),1.3011-72,,CC(F)F
3739,C2H4F2,624-72-6,66.050,vol liq,,26.0,,,"vs bz, eth, chl",FCCF
3742,C2H2F2,1630-78-0,64.034,col gas,,-53.1,,,,F\C=C\F
3746,C6H3F2NO2,446-35-5,159.091,,9.8,207.0,1.457114,1.514914,sl chl,[O-][N+](=O)c1ccc(F)cc1F
